user_id,date,validity_type_bad,bounce_type_soft,bounce_type_hard,bounce_type_other,paycheck_amount_gross,type_of_income,account_number,type_of_loan,autopay_check,bankruptcy_check,deferral_check,customer_account_age,collateral_check,homeowner_check,target_variable,state,type_of_address,branch_distance,user_age,credit_score,plans_count,retired_check,freq_payment,job_duration
72099,11/17/2019,0,0,0,0,2308,30,3155593,8,0,0,0,3,0,0,0,TX,M,34,28 years,346,3,0,1,3 years
99509,11/14/2019,0,0,0,0,4635,21,7652133,7,0,0,0,1,0,0,0,TX,M,41,56 years,346,5,0,1,31 years
53630,11-10-19,1,0,0,0,4138,1,1062081,26,0,0,0,1,0,1,0,NJ,P,6,38 years,346,8,0,4,15 years
97947,11-06-19,1,0,0,0,1622,32,3360473,7,0,0,0,4,0,0,0,AZ,P,13,50 years,346,8,0,4,26 years
35491,11-04-19,0,0,0,0,4178,19,5631415,26,0,0,0,4,0,1,0,AZ,P,19,56 years,346,3,0,1,33 years
33248,11-03-19,0,0,0,1,2586,5,5687792,10,0,0,1,1,0,0,0,AZ,P,11,36 years,346,4,0,3,18 years
99136,11-01-19,0,0,0,0,1240,24,1728434,11,0,0,0,2,0,1,0,TX,P,42,22 years,346,2,0,3,3 years
93183,10/26/2019,0,0,0,0,836,12,4901801,7,0,0,0,2,0,0,0,TX,P,48,39 years,346,8,0,4,19 years
4316,10/23/2019,0,0,0,0,3323,22,4552766,28,0,0,0,1,0,0,0,AZ,M,45,42 years,346,4,0,2,17 years
4329,12/22/2019,0,0,0,0,4379,32,3286934,20,0,0,0,2,0,0,0,AZ,M,17,35 years,346,3,0,1,14 years
79710,12/18/2019,0,0,0,0,975,17,6794552,32,0,0,0,4,0,0,0,TX,M,21,38 years,346,2,0,3,18 years
85434,12/16/2019,0,0,0,0,2859,6,6402402,18,0,0,0,1,0,0,0,TX,M,59,30 years,346,6,0,2,12 years
28569,12-12-19,0,0,0,0,4497,29,3009012,20,0,0,0,5,0,1,0,AZ,P,59,37 years,346,2,0,3,13 years
44307,12-07-19,0,0,0,0,752,14,4763937,8,0,0,0,1,0,0,0,TX,M,29,50 years,346,3,0,4,31 years
74274,12-06-19,0,0,0,0,1594,6,2185073,32,0,0,0,2,0,0,0,AZ,M,43,55 years,346,3,0,1,30 years
49527,11/30/2019,0,0,0,0,2595,32,7862282,18,1,0,0,3,0,0,0,TX,M,15,38 years,346,2,0,2,13 years
54154,11/30/2019,0,0,0,0,1215,30,3501195,27,0,0,0,2,0,0,0,AZ,M,55,32 years,346,4,0,2,11 years
71802,11/29/2019,0,0,0,0,1080,11,7416120,9,0,1,0,2,0,1,0,TX,M,11,47 years,346,5,0,1,27 years
75815,11/28/2019,0,0,0,0,4977,8,7432804,18,0,0,0,1,0,0,0,AZ,M,20,29 years,346,3,0,3,11 years
6602,11/25/2019,0,0,0,0,2689,,3879351,,0,0,0,2,0,0,0,AZ,M,35,50 years,347,5,0,2,29 years
72297,11/22/2019,0,0,0,0,731,16,5941098,12,0,0,0,1,0,1,0,IL,P,51,49 years,347,3,0,3,30 years
31263,11/19/2019,0,0,0,0,3369,,1551547,,0,0,0,3,0,0,0,TX,P,53,33 years,347,2,0,3,13 years
63764,11-06-19,0,0,0,0,2702,31,2701561,13,0,0,0,1,0,0,0,TX,M,5,30 years,347,5,0,1,10 years
79865,11-04-19,0,0,1,0,4677,,3191261,7,1,0,0,2,0,1,0,TX,P,9,23 years,347,9,0,4,1 years
31609,10/23/2019,0,0,0,0,3410,16,2652401,18,1,0,0,2,0,0,0,TX,P,28,32 years,347,3,0,4,9 years
25249,12/23/2019,0,0,0,0,4804,8,5585193,30,0,0,0,3,0,0,0,TX,P,14,25 years,347,1,0,3,2 years
34379,12-09-19,0,0,0,0,4986,10,6245687,24,0,0,0,1,0,0,0,AZ,P,43,34 years,347,2,0,2,12 years
46564,12-08-19,1,0,0,0,2872,26,2264611,28,0,0,0,3,0,0,0,FL,M,58,53 years,347,7,0,4,34 years
66727,12-07-19,0,0,0,0,4854,24,2504408,10,0,0,0,1,0,1,0,AZ,M,44,54 years,347,1,0,3,30 years
83388,12-04-19,1,0,0,0,2725,26,2936857,26,0,0,0,3,0,1,0,IN,M,49,45 years,347,6,0,4,23 years
9501,11/29/2019,0,0,0,0,2430,22,2918942,12,1,0,0,2,0,0,0,TX,P,7,52 years,347,3,0,3,34 years
32859,11/25/2019,0,0,0,0,4764,14,5815536,26,0,0,0,4,0,0,0,AZ,M,1,52 years,347,3,0,4,34 years
19504,11/23/2019,0,0,0,0,1748,90,4213160,9,0,0,0,4,0,1,0,AZ,P,21,27 years,347,7,1,4,9 years
83792,11/14/2019,1,1,0,0,4163,9,7906304,15,0,0,0,4,0,0,0,GA,P,6,52 years,347,4,0,3,32 years
54374,11-10-19,0,0,0,0,3865,25,3771860,24,0,0,0,4,0,0,0,AZ,M,37,29 years,347,2,0,4,6 years
88645,11-09-19,0,0,0,0,1009,17,1159116,11,0,0,0,2,0,0,0,AZ,M,6,22 years,347,4,0,2,2 years
42014,11-07-19,0,0,0,0,4413,24,6999102,18,0,0,1,3,0,0,0,TX,P,25,23 years,347,3,0,2,5 years
81462,10/31/2019,0,0,0,1,1259,17,3698343,32,0,0,0,4,0,0,0,TX,M,58,31 years,347,4,0,3,11 years
57137,10/29/2019,0,0,0,0,1558,4,3507269,28,0,0,0,5,0,0,0,AZ,P,42,38 years,347,3,0,3,15 years
10512,10/25/2019,0,0,0,0,1564,11,1710926,22,0,0,0,3,0,0,0,TX,P,39,55 years,347,3,0,4,33 years
11802,12/22/2019,0,1,0,0,4351,9,5782089,,0,0,0,2,0,1,0,TX,M,5,48 years,348,2,0,3,30 years
1471,12/20/2019,1,0,0,0,2403,31,2133290,10,0,0,0,1,0,1,0,AZ,M,13,25 years,348,2,0,3,6 years
94584,12/13/2019,0,0,0,0,1301,3,7979893,11,0,0,0,3,0,0,0,AZ,P,57,51 years,348,4,0,2,26 years
82653,12-08-19,0,0,0,0,1033,31,6903943,20,0,0,0,3,0,1,0,TX,M,9,27 years,348,4,0,4,8 years
12903,11/28/2019,1,0,0,0,3510,12,3781814,27,0,0,0,4,0,0,0,AZ,P,40,39 years,348,4,0,2,20 years
59558,11/25/2019,1,0,0,0,3905,19,1361650,9,0,0,0,1,0,1,0,AZ,M,33,51 years,348,3,0,3,28 years
23754,11/22/2019,0,0,0,0,3948,6,6609689,24,1,0,0,2,0,1,0,AZ,P,60,27 years,348,8,0,1,2 years
90109,11/22/2019,0,0,0,0,2566,27,3016545,28,0,0,0,3,0,1,0,AZ,M,42,29 years,348,7,0,3,4 years
59757,11/15/2019,0,0,0,0,4547,13,5729291,20,0,0,0,2,0,0,0,TX,P,31,35 years,348,4,0,2,13 years
87519,11/15/2019,1,0,0,0,2867,29,6700926,9,0,0,0,2,0,0,0,CA,P,14,35 years,348,3,0,2,16 years
33283,11-11-19,0,0,0,0,4297,3,1287417,14,0,0,0,5,0,0,0,TX,M,24,43 years,348,4,0,2,19 years
58880,11-03-19,0,0,0,0,2802,23,4923202,10,0,0,0,5,0,1,0,TX,P,24,57 years,348,4,0,2,32 years
35428,10/29/2019,0,0,0,0,2412,25,2784650,7,0,0,0,3,0,0,0,AZ,P,3,28 years,348,5,1,4,5 years
96694,10/28/2019,0,0,0,0,4366,23,7508881,7,0,0,0,3,0,0,0,TX,P,51,30 years,348,4,0,2,10 years
95066,10/27/2019,0,0,0,0,3662,8,2282899,32,0,0,0,4,0,0,0,TX,M,20,36 years,348,4,0,2,14 years
89341,10/26/2019,1,0,0,0,4387,8,7750634,27,1,0,0,5,0,0,0,GA,P,8,46 years,348,6,0,4,21 years
98079,10/24/2019,1,0,0,0,557,90,4028258,11,0,0,0,1,0,0,0,CA,P,52,23 years,348,2,0,3,4 years
26313,10/24/2019,1,0,0,0,3142,23,3155362,20,0,0,0,2,0,0,0,GA,M,27,29 years,349,5,0,4,7 years
63652,10/21/2019,0,0,0,0,3495,22,5987347,14,0,0,0,4,0,0,0,TX,P,41,31 years,349,7,0,2,10 years
70291,12/30/2019,0,0,0,0,4122,10,2870414,24,0,0,0,5,0,0,0,TX,M,8,37 years,349,2,0,1,13 years
42161,12/25/2019,0,0,0,0,2364,29,4403288,,0,0,0,5,0,0,0,AZ,M,48,37 years,349,5,0,1,18 years
55415,12/20/2019,0,0,0,0,4867,4,6772335,10,1,0,0,3,0,1,0,AZ,P,46,27 years,349,4,0,1,8 years
95747,12-04-19,0,0,0,0,4361,23,5981933,11,0,0,0,3,0,0,0,AZ,M,4,39 years,349,7,0,1,14 years
5601,12-03-19,0,0,0,0,1541,8,4098284,7,1,0,0,2,0,0,0,IL,P,13,48 years,349,5,0,1,30 years
54024,11/28/2019,0,0,1,0,4434,27,1403129,7,0,0,0,3,0,0,0,TX,M,48,55 years,349,5,0,3,30 years
30657,11/17/2019,0,0,0,0,3602,6,6313674,24,0,0,0,5,0,0,0,TX,P,18,41 years,349,6,0,4,23 years
4091,11-06-19,0,0,0,0,1451,5,5029063,26,0,0,0,1,0,0,0,TX,M,45,39 years,349,5,0,2,20 years
78608,10/22/2019,0,0,0,0,752,10,4354255,18,0,0,0,1,0,1,0,AZ,P,7,31 years,349,3,0,4,8 years
10983,12/29/2019,0,0,0,0,4333,26,2054761,15,0,0,0,3,0,0,0,AZ,P,36,27 years,349,2,0,3,2 years
15032,12/16/2019,0,0,0,0,3615,26,6258381,18,0,0,0,2,0,0,0,AZ,M,27,58 years,349,5,0,1,35 years
68956,12/14/2019,0,0,0,0,2170,22,2845153,14,0,0,0,4,0,0,0,TX,M,53,42 years,349,6,0,2,17 years
32170,12-11-19,0,0,0,0,4134,14,7751164,27,0,0,0,4,0,0,0,TX,P,51,42 years,349,2,0,1,23 years
82114,12-05-19,0,0,0,0,3293,31,5002919,8,0,0,0,3,0,1,0,TX,M,25,28 years,349,3,0,2,6 years
13971,12-01-19,0,0,0,0,2332,13,7155675,24,0,0,0,5,0,1,0,TX,P,11,32 years,349,3,0,2,7 years
35802,11/20/2019,0,0,0,0,3976,6,4911445,24,0,0,1,1,0,0,0,TX,M,34,34 years,349,4,0,2,9 years
92055,11/17/2019,0,0,0,0,3211,31,1909559,15,0,0,0,5,0,0,0,TX,P,6,35 years,349,3,0,2,10 years
72554,11-04-19,0,0,0,1,3332,30,7591101,20,0,0,0,5,0,0,0,TX,P,39,36 years,350,4,0,1,17 years
48313,11-02-19,1,0,0,0,3567,12,1410081,20,1,0,0,5,0,0,0,FL,M,11,33 years,350,2,0,2,9 years
7275,10/24/2019,0,0,0,1,731,3,1772723,30,0,0,0,5,0,1,0,TX,M,2,30 years,350,6,0,3,8 years
24803,12/25/2019,0,0,0,0,3373,15,2029495,10,0,0,0,4,0,0,0,AZ,P,58,50 years,350,5,0,1,31 years
67858,12/18/2019,0,0,0,0,558,14,5830025,15,0,0,0,3,0,0,0,AZ,P,15,27 years,350,4,0,2,2 years
92091,12/17/2019,0,0,0,0,3087,10,7410009,20,0,0,0,2,0,0,0,AZ,P,19,28 years,350,3,0,2,10 years
92531,12/14/2019,0,0,0,0,4960,4,1861360,18,0,0,0,3,0,0,0,TX,P,36,55 years,350,4,0,2,35 years
45131,12-10-19,0,0,1,0,2097,,3146610,,0,0,0,5,0,1,0,AZ,M,22,30 years,350,4,0,2,8 years
6400,11/25/2019,0,0,0,0,4364,1,7977251,14,0,0,0,1,0,0,0,TX,P,57,33 years,350,4,0,4,10 years
62516,11/21/2019,0,0,0,0,4886,23,5071272,18,0,0,0,1,0,1,0,AZ,M,28,24 years,350,4,0,4,2 years
45038,11/20/2019,1,1,0,0,3661,4,3330441,20,0,0,0,3,0,0,0,AZ,M,17,32 years,350,4,0,2,7 years
73968,11/18/2019,0,0,0,0,1513,2,7214589,32,1,0,0,3,0,0,0,TX,P,57,48 years,350,4,0,4,24 years
8974,11-11-19,0,0,0,0,1254,13,1604492,26,0,0,0,4,0,0,0,AZ,M,29,45 years,350,3,0,2,22 years
39936,11-06-19,0,0,0,0,2862,23,3563745,8,0,0,0,5,0,0,0,TX,P,47,30 years,350,3,0,1,10 years
56525,11-05-19,0,0,0,0,1031,18,7873613,28,0,0,0,4,0,1,0,AZ,P,51,44 years,350,4,0,2,20 years
34325,11-03-19,0,0,0,0,4942,5,4232111,12,0,0,0,1,0,0,0,TX,M,30,35 years,350,2,0,4,14 years
63530,10/31/2019,0,0,0,0,1314,24,3506684,30,0,0,0,4,0,0,0,IL,M,23,52 years,350,2,0,1,29 years
41486,10/24/2019,0,0,0,0,2949,30,2366724,14,1,0,0,1,0,0,0,TX,P,55,37 years,350,6,0,2,19 years
15,12/24/2019,0,0,0,0,2121,20,6248287,14,0,0,0,3,0,0,0,AZ,M,17,52 years,350,1,0,3,27 years
8334,12/20/2019,0,0,0,0,924,21,2794115,20,0,0,0,4,0,0,0,AZ,P,17,32 years,351,4,0,2,9 years
49389,12/19/2019,0,0,0,0,4352,15,6302926,27,0,0,0,2,0,1,0,TX,P,39,45 years,351,4,0,3,24 years
18389,12/14/2019,0,0,0,0,2485,12,1121640,9,0,0,0,4,0,0,0,TX,P,6,21 years,351,2,0,2,1 years
57068,12-06-19,0,0,0,0,4648,90,2202925,14,0,0,0,5,0,0,0,TX,P,40,26 years,351,3,0,1,1 years
64833,12-01-19,0,0,0,0,4856,13,4076876,22,0,0,0,5,0,0,0,AZ,P,20,51 years,351,2,0,3,30 years
80331,11/26/2019,0,0,0,0,2506,12,6393162,26,0,0,0,1,0,0,0,TX,P,53,51 years,351,4,0,4,27 years
68688,11/21/2019,0,0,0,0,2588,18,6802153,24,0,0,0,1,0,1,0,TX,P,12,41 years,351,7,0,3,19 years
99643,11/16/2019,0,0,0,0,3519,17,6594933,,0,0,0,4,0,1,0,TX,M,45,44 years,351,3,0,2,20 years
17581,11-12-19,0,0,0,0,2786,16,4730403,13,0,0,0,3,0,0,0,AZ,P,13,27 years,351,2,0,2,8 years
40689,11-07-19,0,0,0,0,1712,25,7556202,24,0,0,0,3,0,0,0,TX,P,14,27 years,351,4,0,2,3 years
36905,10/28/2019,0,0,1,0,3116,14,5804556,11,0,0,0,2,0,0,0,TX,M,14,27 years,351,4,0,4,9 years
27559,10/23/2019,0,0,0,0,1149,2,7969330,13,0,0,0,2,0,0,0,TX,M,37,52 years,351,2,0,2,29 years
8538,12/20/2019,0,0,0,0,4311,90,6967536,26,0,0,0,2,0,1,0,TX,P,53,28 years,351,5,0,1,6 years
31672,12/17/2019,0,0,0,0,1481,3,6340777,7,0,0,0,5,0,0,0,TX,P,8,20 years,351,4,0,3,1 years
36267,12-12-19,1,0,0,0,2458,3,4261081,20,0,0,0,4,0,0,0,AZ,M,38,44 years,351,5,0,3,25 years
8642,12-11-19,0,0,0,0,2652,29,1974658,28,0,0,0,1,0,0,0,TX,M,55,22 years,351,9,0,3,4 years
45984,12-02-19,0,0,0,0,3207,24,7497860,30,0,0,0,2,0,0,0,AZ,P,18,26 years,351,3,0,4,5 years
86097,11-07-19,0,0,0,0,3028,23,2544565,27,0,0,0,2,0,0,0,TX,P,33,34 years,351,3,0,4,14 years
49962,10/30/2019,0,0,0,0,510,18,5920215,32,0,0,0,3,0,0,0,AZ,P,38,35 years,351,6,0,1,16 years
2140,10/22/2019,0,0,0,0,2190,12,2627970,26,1,0,0,2,0,0,0,TX,P,12,50 years,352,2,0,1,26 years
85418,12/31/2019,0,0,0,0,3449,32,5677592,,1,0,1,5,0,1,0,TX,M,34,42 years,352,6,0,2,17 years
42204,12/28/2019,0,0,1,0,1439,28,6433506,15,0,0,0,3,0,0,0,AZ,P,20,21 years,352,5,0,3,1 years
16831,12-12-19,0,0,0,0,3943,7,2006705,22,0,0,0,5,0,1,0,AZ,P,23,57 years,352,3,0,3,35 years
54986,12-03-19,0,0,0,0,2246,2,7531600,22,0,0,0,4,0,1,0,TX,P,43,45 years,352,3,0,4,25 years
18089,12-01-19,0,0,0,0,2903,16,5339615,20,0,0,0,1,0,1,0,TX,P,6,37 years,352,8,0,4,19 years
63648,11/30/2019,1,0,0,0,1353,,6871226,,0,0,0,4,0,0,0,NJ,M,19,39 years,352,4,0,1,18 years
25927,11/18/2019,0,0,0,0,1565,9,7776672,8,0,0,0,4,0,1,0,AZ,M,3,31 years,352,7,0,1,9 years
91885,11-11-19,0,0,0,0,3535,28,3725713,13,0,0,0,5,0,0,0,AZ,P,24,45 years,352,5,0,3,27 years
89634,11-10-19,1,0,0,0,1503,25,2151459,,0,0,0,5,0,1,0,NJ,M,55,26 years,352,4,0,3,8 years
32501,11-08-19,1,0,0,0,4885,13,3400295,22,0,0,0,4,0,0,0,NJ,P,47,58 years,352,3,0,1,34 years
44738,11-06-19,0,1,0,0,1494,30,7644875,15,0,0,0,2,0,0,0,AZ,M,29,31 years,352,1,0,1,7 years
64331,11-04-19,0,0,0,0,3348,29,7024713,,0,0,0,1,0,0,0,AZ,P,22,25 years,352,5,0,4,4 years
73753,10/28/2019,0,0,0,0,1325,31,1238886,7,0,0,0,5,0,0,0,AZ,P,14,41 years,352,4,0,1,22 years
24411,10/25/2019,0,0,0,0,2542,90,6443633,12,0,0,0,5,0,1,0,TX,M,9,23 years,352,3,0,4,3 years
43369,12/20/2019,0,0,1,0,2857,12,5691540,20,0,0,0,5,0,0,0,TX,M,33,30 years,352,5,0,1,6 years
30380,12/19/2019,0,0,0,0,2525,17,4739896,15,0,0,0,4,0,1,0,AZ,M,56,46 years,352,7,0,1,25 years
74267,12/18/2019,0,0,0,0,1145,15,3210689,12,1,0,0,1,0,0,0,TX,P,38,56 years,352,5,0,2,35 years
65777,12/13/2019,0,0,1,0,1882,6,1109251,12,0,0,0,4,0,0,0,AZ,P,26,53 years,352,4,0,1,31 years
35514,12-04-19,0,0,0,0,1508,7,6481466,18,0,0,0,2,0,0,0,TX,M,18,24 years,352,3,0,2,6 years
69334,12-03-19,0,1,0,0,2124,32,3738688,12,0,0,0,3,0,1,0,AZ,P,52,25 years,352,3,0,1,6 years
91297,12-03-19,0,0,0,1,853,12,6865180,22,0,0,1,1,0,0,0,TX,P,29,56 years,352,3,0,2,33 years
91666,12-02-19,0,1,0,0,4192,29,5892733,8,0,0,0,4,0,0,0,TX,M,18,52 years,352,6,0,4,27 years
39037,11/30/2019,1,0,0,0,2671,7,7961741,24,1,0,0,5,0,0,0,GA,M,16,45 years,352,6,0,4,20 years
61268,11/26/2019,0,0,0,0,4398,2,3028809,7,0,0,1,4,0,1,0,AZ,P,57,25 years,352,6,0,3,3 years
69096,11/26/2019,1,0,0,0,3013,9,2542318,8,0,0,1,3,0,1,0,TX,M,35,50 years,353,9,0,1,32 years
32788,11/21/2019,1,0,0,0,2661,32,6025337,12,0,0,0,5,0,1,0,TX,P,22,47 years,353,5,0,1,22 years
42910,11/15/2019,0,0,0,0,1999,21,3689666,,0,0,0,1,0,0,0,AZ,M,38,23 years,353,5,0,2,1 years
5433,11-10-19,1,0,0,0,1902,21,1458177,15,0,0,0,1,0,1,0,IN,M,16,43 years,353,4,1,4,25 years
86641,11-09-19,1,0,0,0,3378,1,3457701,8,0,0,0,3,0,1,0,NJ,P,34,42 years,353,4,0,1,22 years
31714,11-03-19,1,0,0,0,1927,15,2287480,24,1,0,1,3,0,0,0,NJ,P,54,29 years,353,6,0,3,7 years
71328,11-03-19,0,0,0,0,1745,8,3835525,26,0,0,0,2,0,0,0,TX,M,4,29 years,354,6,0,1,10 years
95691,11-02-19,0,0,0,0,2116,90,6408832,24,0,0,0,1,0,0,0,TX,P,22,30 years,354,2,0,4,11 years
60536,10/31/2019,0,0,0,0,1112,90,2902888,12,0,0,0,5,0,0,0,TX,M,19,59 years,354,4,0,4,35 years
41835,12/31/2019,0,0,0,0,3495,9,4518357,30,0,1,1,3,0,0,0,TX,M,56,22 years,354,4,0,3,1 years
30613,12/25/2019,1,0,0,0,1135,16,6571396,24,0,0,1,3,0,1,0,IN,P,57,27 years,354,7,0,1,2 years
27746,12/22/2019,0,0,0,0,850,12,5527077,22,0,0,0,2,0,0,0,AZ,P,47,40 years,354,3,0,2,19 years
65522,12/19/2019,0,0,0,0,4130,23,7835317,14,0,0,0,4,0,0,0,AZ,M,7,31 years,354,1,0,3,6 years
74473,12/17/2019,0,0,0,0,734,25,2336036,27,0,0,0,1,0,0,0,AZ,M,19,49 years,354,5,0,2,27 years
55852,12-11-19,1,0,0,0,3385,7,6982772,24,0,0,0,5,0,0,0,NJ,P,33,30 years,354,5,0,2,12 years
36645,12-10-19,0,0,0,0,4280,32,7776932,8,0,0,0,5,0,0,0,TX,P,3,34 years,354,3,0,3,14 years
54440,12-08-19,0,0,0,0,4919,9,6055355,10,1,0,0,4,0,1,0,AZ,P,37,24 years,354,4,0,3,4 years
71873,12-06-19,0,0,0,0,2548,17,5002485,11,0,0,0,1,0,0,0,TX,P,2,38 years,354,2,0,3,16 years
32643,12-01-19,0,0,0,0,2562,18,6912234,30,0,0,1,1,0,0,0,AZ,P,3,43 years,354,2,1,1,24 years
92535,11/27/2019,0,0,0,0,3056,24,6175901,27,0,0,0,4,0,1,0,TX,P,57,49 years,354,3,0,4,29 years
7445,11/20/2019,0,0,0,0,4738,5,3169465,27,0,0,0,5,0,1,0,TX,P,48,59 years,354,5,0,3,34 years
69122,11/18/2019,0,0,0,0,1276,3,6429552,13,0,0,0,5,0,0,0,TX,P,17,51 years,354,5,1,2,31 years
60840,11/16/2019,0,0,0,0,4939,,1446092,,0,0,0,1,0,0,0,AZ,M,55,34 years,354,4,1,1,16 years
45097,11-10-19,0,0,0,0,4959,16,6691873,18,1,0,1,5,0,0,0,TX,P,23,31 years,354,5,0,3,9 years
21429,10/26/2019,0,0,0,0,2776,12,4811545,26,0,0,0,4,0,0,0,TX,P,33,45 years,354,4,0,2,25 years
69534,12/26/2019,0,0,0,0,3494,27,3947795,9,0,0,0,3,0,1,0,TX,M,52,36 years,355,2,0,2,12 years
75922,12/22/2019,0,0,0,0,4825,11,3225222,,0,0,0,5,0,0,0,AZ,M,56,24 years,355,5,0,3,6 years
39839,12/13/2019,0,0,0,0,4539,1,7716782,22,0,0,0,1,0,1,0,TX,P,26,51 years,355,5,0,1,31 years
2791,12-05-19,0,0,0,0,1429,8,7966039,24,0,0,0,5,0,1,0,TX,M,37,25 years,355,2,0,2,4 years
53677,12-03-19,0,0,0,0,4491,16,6935957,18,0,0,1,2,0,1,0,AZ,M,50,55 years,355,5,0,4,30 years
93405,11/28/2019,0,0,0,0,4293,1,3113404,7,0,0,0,2,0,0,0,AZ,P,9,46 years,355,2,0,2,25 years
42429,11/25/2019,0,0,0,0,3105,21,3641119,15,0,0,0,1,0,1,0,AZ,P,53,54 years,355,5,1,3,30 years
32483,11/20/2019,0,0,0,0,1053,7,4575382,24,0,0,0,3,0,0,0,TX,M,35,29 years,355,3,0,4,8 years
42513,11/19/2019,0,0,0,0,856,13,3165840,28,0,0,0,5,0,0,0,AZ,P,42,33 years,355,3,0,2,10 years
76505,11/13/2019,0,0,0,1,3569,19,5623618,26,0,0,0,4,0,0,0,IL,M,21,46 years,355,1,0,3,22 years
43993,11-09-19,0,0,0,0,3680,31,3447991,27,0,0,0,3,0,0,0,TX,M,26,41 years,355,6,0,2,22 years
52683,11-08-19,0,0,0,0,1666,13,4969067,20,1,0,0,5,0,1,0,AZ,M,8,32 years,355,8,0,4,11 years
6726,11-04-19,0,0,0,0,3745,29,6457468,18,0,0,0,1,0,0,0,TX,P,50,35 years,355,3,0,4,13 years
15691,10/30/2019,0,0,0,0,4830,27,1247695,11,0,0,0,2,0,1,0,TX,M,3,37 years,355,2,1,4,19 years
21724,10/28/2019,0,0,0,0,2773,17,3063585,30,0,0,0,5,0,0,0,TX,P,12,31 years,355,1,0,3,11 years
56702,10/23/2019,0,0,0,0,614,11,4023195,11,0,0,0,3,0,0,0,TX,P,41,36 years,355,5,1,3,13 years
3599,12/30/2019,0,0,0,0,3179,23,3910373,18,0,0,1,1,0,0,0,TX,M,12,50 years,355,4,0,2,26 years
48133,12/26/2019,0,0,0,0,4097,,5112695,26,0,0,0,2,0,0,0,AZ,P,16,44 years,355,1,0,2,20 years
35617,12/20/2019,0,0,0,0,4960,30,7402822,24,1,0,0,4,0,0,0,AZ,P,3,27 years,355,3,0,1,6 years
13007,12-07-19,0,1,0,0,1037,27,3295343,,0,0,0,2,0,0,0,TX,M,6,56 years,356,4,0,2,32 years
89013,11/25/2019,0,0,1,0,1963,25,2463639,24,0,0,0,2,0,0,0,AZ,P,6,52 years,356,4,0,1,30 years
42360,11/13/2019,0,0,0,0,4823,13,6942536,8,0,0,0,3,0,0,0,AZ,M,19,31 years,356,5,0,4,7 years
77509,11-12-19,1,0,0,0,3277,11,7425185,20,0,0,0,4,0,0,0,CA,M,41,52 years,356,5,0,3,34 years
94131,10/26/2019,0,0,0,0,3869,2,6769907,14,0,0,0,4,0,1,0,TX,P,30,31 years,356,3,0,4,10 years
76102,10/25/2019,0,0,0,1,4852,23,1233458,7,0,0,0,2,0,0,0,AZ,P,6,49 years,356,5,0,4,25 years
